Year,avgTemp,minTemp,maxTemp,rainFall,avgPrice
20161105,13.2,7.6,19.8,0.2,3218
20161106,12.6,8.9,16.5,1.6,3218
20161107,13.1,9.4,17.8,1.5,3270
20161108,8.2,3.1,12.7,1.7,3255
20161109,4.3,-0.7,10.5,0,3281
20161110,7.3,2.8,12,3.1,3233
20161111,9.3,4.5,15.2,0.9,3263
20161112,10,2.9,18.2,0,3263
20161113,12.6,6.9,18.3,3,3263
20161114,14.3,10.2,18.7,2.3,3435
20161115,9.5,3.4,15.2,0,3567
20161116,6.6,0.3,14.3,0,3561
20161117,8.7,3.3,16.1,0,3440
20161118,10,3.6,15.6,12.8,3630
20161119,13.4,10.6,16.7,1.2,3630
20161120,12.2,7.3,17.6,0,3630
20161121,10.3,6.1,14.2,0.1,3709
20161122,6.3,2.5,10.9,0.9,3790
20161123,3.1,-0.5,7.6,0.1,3762
20161124,0.7,-3,5.5,0,3712
20161125,1.9,-2.8,8.1,0,3725
20161126,1.2,-2.6,4.3,2.4,3725
20161127,4.1,1,8.5,0.1,3725
20161128,3.8,-0.2,8.4,0,3725
20161129,3.1,-2.3,10,0.2,3725
20161130,6.2,1.2,10.7,2.5,3838
20161201,6.5,0.8,10.8,0.1,3927
20161202,3,-2.6,10,0,3927
20161203,4,-2.6,12.1,0,3927
20161204,5.3,1.1,10.2,0,3927
20161205,7.9,2.5,13.8,0.1,3951
20161206,1.8,-2.9,6.7,0,3959
20161207,1.6,-4.2,7.6,0.1,3978
20161208,3.6,-2.5,9.7,1.3,4057
20161209,4.6,-0.5,8.9,1.3,4111
20161210,0.8,-3.9,7.1,0,4111
20161211,0.1,-5.7,7.8,0,4111
20161212,3.9,-2.8,10.1,0.2,4044
20161213,5.4,1.4,9.9,0.3,4077
20161214,1.6,-1,4.7,2.5,4058
20161215,-0.8,-4.2,2.7,0.1,4077
20161216,-1.8,-6.9,2.9,0,4093
20161217,3.4,-2.2,10.1,0,4093
20161218,4.4,-1.1,10.6,0.1,4093
20161219,7.2,3.4,10.5,4.9,4089
20161220,7.3,3.3,13,0,4119
20161221,8.7,3,13.7,24.2,4145
20161222,8.4,4.4,15.3,14.4,4169
20161223,1.7,-0.3,4.6,0.6,4163
20161224,0.5,-2.3,4,0,4163
20161225,2.9,-2.9,9,0.1,4163
20161226,4.6,2.9,6.2,10.3,4206
20161227,1.2,-3.2,4.5,2.1,4226
20161228,-1.4,-6.5,4.8,0,4200
20161229,-1.3,-4.5,2.1,0.2,4224
20161230,-1.4,-7,4.6,0,4219
20161231,1.7,-2.9,7.1,0,4219
20170101,3.2,-1.5,9.6,0,4219
20170102,5.5,0.4,11.3,0,4382
20170103,3.6,-0.9,9.8,0,4355
20170104,3.8,-1.3,10.6,0,4380
20170105,4.3,-0.7,8.5,2,4379
20170106,5.2,0.8,10.5,0.1,4354
20170107,4,-1.4,9.5,0.1,4354
20170108,7.2,3.9,11.9,1.6,4354
20170109,4.4,-0.5,8.1,0.1,4279
20170110,0.4,-2.9,4.7,0,4279
20170111,-1.7,-6.2,2.8,0,4279
20170112,0.7,-3.7,5.6,0.2,4279
20170113,-2.2,-5.9,2.8,0.3,4108
20170114,-5,-7.8,-1.8,0,4108
20170115,-4.8,-10.6,1.6,0,4108
20170116,-3,-8.8,4.4,0,4108
20170117,-1.7,-7.8,5.8,0,4108
20170118,0.5,-4.5,5.9,0,4092
20170119,0.1,-5,6.8,0,4092
20170120,-1.7,-5.4,1.4,3.3,4092
20170121,-2.6,-8.1,2,0.6,4092
20170122,-3.7,-6.9,0.1,0.6,4092
20170123,-5.9,-9.9,-1.1,0.1,4019
20170124,-4.7,-10.1,1.5,0,3987
20170125,-3.7,-9.7,3.3,0,3987
20170126,-0.9,-9.1,6.8,0.1,3987
20170127,1.5,-3.7,6.6,1.2,3987
20170128,0.5,-7.3,8.3,0,3987
20170129,3.3,0.9,5.7,3.9,3987
20170130,-1,-5.5,3.2,1.1,3987
20170131,-2.9,-8.7,3.7,0,4008
20170201,-1.2,-5.4,4.2,0,3980
20170202,-0.9,-7.5,6.1,0,3990
20170203,1.8,-3.8,8.6,0,3990
20170204,4.1,-2.3,9.9,0.8,3990
20170205,4.2,1.8,7.5,1.1,3990
20170206,0.8,-2.6,4.7,0,3990
20170207,0.1,-4.7,6.3,0,4001
20170208,0.8,-3.6,5.3,0,4001
20170209,-2.1,-5,1.2,0.1,4010
20170210,-4.1,-6.8,-0.5,0.6,4010
20170211,-2.8,-7.5,1.8,0.1,4010
20170212,-0.7,-6.1,5.4,0,4010
20170213,1,-5.9,7.3,0.3,4038
20170214,1.5,-3.4,7.6,0,4010
20170215,2.4,-5.3,11,0,4010
20170216,7.1,-2.8,14.5,1.4,4010
20170217,5.6,-1,12,1.7,4010
20170218,0,-4.6,5.1,0,4010
20170219,3.4,-5,10,2,4010
20170220,2.9,-3,9.6,5.4,4010
20170221,0.8,-6.2,7.9,0,4010
20170222,3.6,0.3,5.9,16.1,4010
20170223,1.4,-2,5,0,4010
20170224,0.6,-4.7,6.1,0,4010
20170225,3.1,-2.6,9.2,0,4010
20170226,3.4,-2,10,0,4010
20170227,3.6,-2.5,11.1,0.1,4010
20170228,4.8,-2.5,13,0,4018
20170301,6.2,0.7,12.7,2.1,4018
20170302,3.2,-0.7,6.9,2,4018
20170303,3.9,-3.2,11.7,0,4002
20170304,5.6,-1,13.7,0,4002
20170305,6.2,-0.3,13.8,0.2,4002
20170306,2.9,-1.1,7,0.3,4002
20170307,0.1,-3.2,4.4,0.5,4002
20170308,1.4,-3.8,6.3,0,4002
20170309,5,-1.6,11.3,0,4002
20170310,5.4,-1.3,12.7,0,4002
20170311,6.5,-2.2,15.8,0,4002
20170312,8.5,0.2,16.4,0,4002
20170313,7.9,2.7,13.7,0,4002
20170314,5.5,0.6,11.4,0.6,4089
20170315,4.8,-1.8,12.2,0,4089
20170316,5.6,-1.4,13.1,0,3986
20170317,6.9,-1.2,15.5,0,3986
20170318,8.4,2.3,16.8,0,3986
20170319,9.1,0.7,17.9,0,3986
20170320,8.3,2.1,13.6,2.8,3942
20170321,7.1,2.4,12.5,1.5,3942
20170322,6.9,-0.6,14,0,3942
20170323,8.7,3.8,15.1,0.1,3942
20170324,7.8,2.3,13.3,0,3938
20170325,6.4,4,9.7,6,3938
20170326,6.2,2.8,10.8,1.2,3938
20170327,6,2.4,10.8,1.3,3930
20170328,7.3,0.7,13.6,0.7,3953
20170329,8.5,4,14,1.1,3917
20170330,10.5,2.8,18.4,0,3927
20170331,8.7,6.2,12.1,3.8,3918
20170401,7.5,4.1,12.3,3.4,3918
20170402,8.2,1.7,15.1,0,3918
20170403,11.5,2.9,20.2,0,3918
20170404,13.4,4.1,21.9,0,3918
20170405,13.3,10.2,16.2,17.7,3895
20170406,13.6,10.5,17.1,9.8,3881
20170407,14.2,8.5,21.9,0,3881
20170408,14.9,8.1,23.1,0,3881
20170409,13.4,9.2,18.2,0.6,3881
20170410,13.4,8.3,19.5,0.1,3881
20170411,12.2,8.4,18.2,10.8,3881
20170412,12.3,7.2,17.7,0,3803
20170413,13.1,4.6,20.3,0,3830
20170414,14.7,8.5,20.5,0.9,3790
20170415,17.6,11.3,24.8,0.1,3790
20170416,17.8,10.3,26.6,0,3790
20170417,13.6,10.8,17.2,15.3,3829
20170418,13.3,8.6,20.1,3.1,3714
20170419,13.3,7.4,19.4,0,3701
