avgTemp,minTemp,maxTemp,rainFall,avgPrice
28,23,34,1.2,5334
27.3,23.6,32.2,1.8,5472
27.3,22.9,33.2,0,5958
27.2,21.3,33.7,2.1,6258
21.9,18.3,27.2,11.3,6384
22,17.1,27.1,0.6,6384
19.6,17.3,23.3,22.8,6384
20.5,16.3,25.4,3,6708
20.7,16.9,24.7,1,7175
21.8,18.5,25.3,7.8,7641
24.6,19.6,30.2,2,7754
21.4,19.4,24.8,28.9,7872
22.9,19.7,27.1,20.5,7872
24.6,21.1,29.4,2.1,7872
24.6,21.7,29.1,1.3,7892
23.6,20.2,27.8,0,8035
23.1,19.9,27.9,1.3,8186
22.7,18.6,28.2,3.2,8081
22.8,18.9,28.5,1.4,8128
22.4,18.7,27.6,5.1,8128
22.8,19.3,27.3,1.2,8128
21.7,19.1,25.9,7.8,7545
22.4,17.7,28.2,0,7845
22.6,18.7,27.7,0,7845
22.6,18.2,28.2,0,7845
22.1,19.6,25.3,5,7845
20.5,18.8,22.8,85.6,7845
20.3,18.3,22.8,6.5,7845
20.2,17.1,24.1,0.2,8443
18.8,13.9,24.4,0,8088
18.4,12.7,24.1,0,7940
19.4,15.8,24.6,0,7694
19.7,14.4,26.1,0,7643
20.4,15.4,27.1,0,7643
20.7,16.1,26.6,0,7643
21.7,17.9,26.5,2.2,7532
22.7,20.1,26.7,5.4,7846
21.3,18.8,24.7,7.6,7805
19.1,17,21.7,1.3,7788
17.8,15.9,19.9,13,7719
19.1,16.3,22.3,2.4,7719
20.8,17.8,24.4,6.1,7719
22.6,18.9,26.9,9.6,7719
21.4,16.8,27.2,0.6,7304
19.5,16.7,24.2,51.1,6912
18.6,14.4,24.3,0,6759
18.4,14.8,22.8,9.3,6657
17.4,14,21.5,23.6,6657
12.8,8.8,17.8,0,6657
13.3,8.4,19.1,0,6470
14.5,10.2,20.6,0,6047
15.1,10.8,21.2,0,5738
14.5,10.6,20.2,0,5340
15.2,9.2,23.1,0,5107
16.7,10.6,24.3,0,5107
16,13.9,18.5,18.5,5107
17.7,14,23.2,0.3,4753
16.3,12,22.4,0,4685
16.8,12.6,23.3,0,4481
16.8,11.7,22.7,0.1,4241
16.6,14.9,18.8,0.4,4179
16.8,13.6,21,0.4,4179
14.4,11.4,17.6,2.3,4179
14.2,9.5,19.4,0,4011
14.6,11.3,19.1,13.7,3911
13.8,10,18.3,0,3792
14.5,9.1,19.2,0,3723
14.1,12.1,16.5,5.6,3592
10.6,7.1,14,0.7,3592
8.1,2.9,15.1,0,3592
8.3,4.4,11.6,0.3,3552
4.6,0.4,9.7,0,3419
5.3,-1.2,11.8,0.1,3422
8.1,2.9,14.7,0.1,3233
10.2,3.5,17.4,0,3218
13.2,7.6,19.8,0.2,3218
12.6,8.9,16.5,1.6,3218
13.1,9.4,17.8,1.5,3270
8.2,3.1,12.7,1.7,3255
4.3,-0.7,10.5,0,3281
7.3,2.8,12,3.1,3233
9.3,4.5,15.2,0.9,3263
10,2.9,18.2,0,3263
12.6,6.9,18.3,3,3263
14.3,10.2,18.7,2.3,3435
9.5,3.4,15.2,0,3567
6.6,0.3,14.3,0,3561
8.7,3.3,16.1,0,3440
10,3.6,15.6,12.8,3630
13.4,10.6,16.7,1.2,3630
12.2,7.3,17.6,0,3630
10.3,6.1,14.2,0.1,3709
6.3,2.5,10.9,0.9,3790
3.1,-0.5,7.6,0.1,3762
0.7,-3,5.5,0,3712
1.9,-2.8,8.1,0,3725
1.2,-2.6,4.3,2.4,3725
4.1,1,8.5,0.1,3725
3.8,-0.2,8.4,0,3725
3.1,-2.3,10,0.2,3725
6.2,1.2,10.7,2.5,3838
6.5,0.8,10.8,0.1,3927
3,-2.6,10,0,3927
4,-2.6,12.1,0,3927
5.3,1.1,10.2,0,3927
7.9,2.5,13.8,0.1,3951
1.8,-2.9,6.7,0,3959
1.6,-4.2,7.6,0.1,3978
3.6,-2.5,9.7,1.3,4057
4.6,-0.5,8.9,1.3,4111
0.8,-3.9,7.1,0,4111
0.1,-5.7,7.8,0,4111
3.9,-2.8,10.1,0.2,4044
5.4,1.4,9.9,0.3,4077
1.6,-1,4.7,2.5,4058
-0.8,-4.2,2.7,0.1,4077
-1.8,-6.9,2.9,0,4093
3.4,-2.2,10.1,0,4093
4.4,-1.1,10.6,0.1,4093
7.2,3.4,10.5,4.9,4089
7.3,3.3,13,0,4119
8.7,3,13.7,24.2,4145
8.4,4.4,15.3,14.4,4169
1.7,-0.3,4.6,0.6,4163
0.5,-2.3,4,0,4163
2.9,-2.9,9,0.1,4163
4.6,2.9,6.2,10.3,4206
1.2,-3.2,4.5,2.1,4226
-1.4,-6.5,4.8,0,4200
-1.3,-4.5,2.1,0.2,4224
-1.4,-7,4.6,0,4219
1.7,-2.9,7.1,0,4219
3.2,-1.5,9.6,0,4219
5.5,0.4,11.3,0,4382
3.6,-0.9,9.8,0,4355
3.8,-1.3,10.6,0,4380
4.3,-0.7,8.5,2,4379
5.2,0.8,10.5,0.1,4354
4,-1.4,9.5,0.1,4354
7.2,3.9,11.9,1.6,4354
4.4,-0.5,8.1,0.1,4279
0.4,-2.9,4.7,0,4279
-1.7,-6.2,2.8,0,4279
0.7,-3.7,5.6,0.2,4279
-2.2,-5.9,2.8,0.3,4108
-5,-7.8,-1.8,0,4108
-4.8,-10.6,1.6,0,4108
-3,-8.8,4.4,0,4108
-1.7,-7.8,5.8,0,4108
0.5,-4.5,5.9,0,4092
0.1,-5,6.8,0,4092
-1.7,-5.4,1.4,3.3,4092
-2.6,-8.1,2,0.6,4092
-3.7,-6.9,0.1,0.6,4092
-5.9,-9.9,-1.1,0.1,4019
-4.7,-10.1,1.5,0,3987
-3.7,-9.7,3.3,0,3987
-0.9,-9.1,6.8,0.1,3987
1.5,-3.7,6.6,1.2,3987
0.5,-7.3,8.3,0,3987
3.3,0.9,5.7,3.9,3987
-1,-5.5,3.2,1.1,3987
-2.9,-8.7,3.7,0,4008
-1.2,-5.4,4.2,0,3980
-0.9,-7.5,6.1,0,3990
1.8,-3.8,8.6,0,3990
4.1,-2.3,9.9,0.8,3990
4.2,1.8,7.5,1.1,3990
0.8,-2.6,4.7,0,3990
0.1,-4.7,6.3,0,4001
0.8,-3.6,5.3,0,4001
-2.1,-5,1.2,0.1,4010
-4.1,-6.8,-0.5,0.6,4010
-2.8,-7.5,1.8,0.1,4010
-0.7,-6.1,5.4,0,4010
1,-5.9,7.3,0.3,4038
1.5,-3.4,7.6,0,4010
2.4,-5.3,11,0,4010
7.1,-2.8,14.5,1.4,4010
5.6,-1,12,1.7,4010
0,-4.6,5.1,0,4010
3.4,-5,10,2,4010
2.9,-3,9.6,5.4,4010
0.8,-6.2,7.9,0,4010
3.6,0.3,5.9,16.1,4010
1.4,-2,5,0,4010
0.6,-4.7,6.1,0,4010
3.1,-2.6,9.2,0,4010
3.4,-2,10,0,4010
3.6,-2.5,11.1,0.1,4010
4.8,-2.5,13,0,4018
6.2,0.7,12.7,2.1,4018
3.2,-0.7,6.9,2,4018
3.9,-3.2,11.7,0,4002
5.6,-1,13.7,0,4002
6.2,-0.3,13.8,0.2,4002
2.9,-1.1,7,0.3,4002
0.1,-3.2,4.4,0.5,4002
1.4,-3.8,6.3,0,4002
5,-1.6,11.3,0,4002
5.4,-1.3,12.7,0,4002
6.5,-2.2,15.8,0,4002
8.5,0.2,16.4,0,4002
7.9,2.7,13.7,0,4002
5.5,0.6,11.4,0.6,4089
4.8,-1.8,12.2,0,4089
5.6,-1.4,13.1,0,3986
6.9,-1.2,15.5,0,3986
